"idPuesto","Puesto","RelacionGerencia"
"PST-0192","Gerente de Automatización y monitoreo","54"
"PST-0193","Jefe de Instrumentación y Automatización","54"
"PST-0194","Jefe Brigada Instrumentación","54"
"PST-0195","Oficial Brigada Instrumentación","54"
"PST-0196","Jefe de Comunicaciones","54"
"PST-0197","Auxiliar Técnico de Telecomunicaciones","54"
"PST-0198","Operador de Agua Tratada","55"
"PST-0199","Analista De Proyectos","56"
"PST-0200","Analista Tecnico","56"
"PST-0201","Gerente De Proyectos De Agua Y Drenaje","56"
"PST-0202","Jefe Depto De Proyectos De Agua","56"
"PST-0203","Proyectista De Factibilidades De Agua","56"
"PST-0204","Proyectista Lineas De Agua Potable","56"
"PST-0205","Proyectista De Redes De Agua","56"
"PST-0206","Jefe Depto De Proyectos Drenaje","56"
"PST-0207","Proyectista De Colectores","56"
"PST-0208","Proyectista De Factibilidades De Drenaje","56"
"PST-0209","Analista Tecnico","57"
"PST-0210","Jefe Depto Eficiencia Fisica","57"
"PST-0211","Analista Proyectos De Eficiencia","57"
"PST-0212","Especialista Arquitectonico","58"
"PST-0213","Coordinador De Topografia","59"
"PST-0214","Coordinador De Estructuras","60"
"PST-0215","Coordinador Electromecanico","61"
"PST-0216","Gerente Paseo Del Rio","62"
"PST-0217","Encargado De Cuadrilla","62"
"PST-0218","Oficial Operativo Balance Hidrico","62"
"PST-0219","Analista Tecnico","62"
"PST-0220","Coordinador Mtto A La Automatizacion","63"
"PST-0221","Gerente De Medicion","64"
"PST-0222","Analista Hidrico","65"
"PST-0223","Jefe Depto Proyectos de Automatizacion","65"
"PST-0224","Oficial Operativo","65"
"PST-0225","Jefe De Cuadrilla","65"
"PST-0226","Analista De Automatizacion","65"
"PST-0227","Coordinador Proyectos Automatizacion","66"
"PST-0228","Oficial De Micromedicion","67"
"PST-0229","Analista De Automatización","67"
"PST-0230","Jefe De Cuadrilla de Automatización","67"
"PST-0231","Supervisor Operativo Micromedicion","67"
"PST-0232","Jefe De Cuadrilla Micromedicion","67"
"PST-0233","Analista De Micromedicion","67"
"PST-0234","Jefe De Cuadrilla Micromedicion","67"
"PST-0235","Analista De Micromedicion","67"
"PST-0236","Oficial de cuadrilla de Micromedicion","67"
"PST-0237","Supervisor Tecnico ","67"
"PST-0238","Jefe Depto De Micromedicion","67"
"PST-0239","Oficial Operativo de Automatización","67"
"PST-0240","Analista De Micromedicion","67"
"PST-0241","Gerente De Contratos","68"
"PST-0242","Jefe Depto De Gestion Administrativa","69"
"PST-0243","Jefe Depto De Estimaciones y Costos","70"
"PST-0244","Analista Exp De Inversion","71"
"PST-0245","Jefe Depto Expedientes E Inversion","71"
"PST-0246","Analista de Coordinación de Planeación","72"
"PST-0247","Jefe Dpto. de Integración de Proyectos","73"
"PST-0248","Coordinador de Concursos y Padrón","74"
"PST-0249","Gerente de Desarrollo de Capital Humano","75"
"PST-0250","Jefe de Enfermería","76"
"PST-0251","Fisioterapeuta","76"
"PST-0252","Enfermero(a)","76"
"PST-0253","Jefe de Cultura del Agua","77"
"PST-0254","Guardianes del agua (eventos deportivos)","77"
"PST-0255","Guardianes del agua (administrativo)","77"
"PST-0256","Gerente de Seguridad e Higiene","78"
"PST-0257","Jefe de Seguridad e Higiene","78"
"PST-0258","Analista de Seguridad e Higiene","78"
"PST-0259","Auxiliar Técnico de Seguridad e Higiene","78"
"PST-0260","Director General","79"
"PST-0261","Asistente de dirección general","79"
